#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-38C0CE71DCC7EEA3-36894F96905DCF6A
#datatype	hits Concise data(Superfamily only)
#status	0
#Start time	2012-05-24T16:59:24	Run time	0:12:57:43
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >WHL22.684570.0	superfamily	212227	189	410	2.91122e-33	124.196	cl00489	60KD_IMP superfamily	 - 	 - 
Q#3 - >WHL22.6985.3	superfamily	206798	3	48	1.58088e-05	40.9092	cl00043	CCP superfamily	N	 - 
Q#3 - >WHL22.6985.3	superfamily	206834	93	121	0.000194271	37.659	cl00097	KAZAL_FS superfamily	N	 - 
Q#4 - >WHL22.304669.0	superfamily	198567	85	131	1.82404e-17	73.7603	cl00295	ZZ superfamily	 - 	 - 
Q#4 - >WHL22.304669.0	superfamily	115363	7	76	1.28498e-18	77.4121	cl05972	MIB_HERC2 superfamily	 - 	 - 
Q#4 - >WHL22.304669.0	superfamily	115363	159	217	5.4679e-05	40.0478	cl05972	MIB_HERC2 superfamily	 - 	 - 
Q#7 - >WHL22.691170.0	superfamily	210179	16	92	5.23011e-07	46.4696	cl15779	SANT superfamily	 - 	 - 
Q#8 - >WHL22.41221.0	superfamily	204985	3	117	1.0424e-45	163.882	cl14987	Chorein_N superfamily	 - 	 - 
Q#8 - >WHL22.41221.0	superfamily	203492	2300	2557	1.43071e-36	142.82	cl05933	DUF1162 superfamily	 - 	 - 
Q#9 - >WHL22.739922.0	superfamily	201016	112	358	9.52865e-74	234.417	cl08245	Gln-synt_C superfamily	 - 	 - 
Q#9 - >WHL22.739922.0	superfamily	202826	78	101	0.0061297	34.7886	cl08409	Gln-synt_N superfamily	N	 - 
Q#11 - >WHL22.638257.1	superfamily	152882	385	486	2.92415e-10	59.5793	cl13834	Milton superfamily	N	 - 
Q#11 - >WHL22.638257.1	superfamily	207558	128	261	0.00699102	37.4101	cl02238	SPX superfamily	C	 - 
Q#12 - >WHL22.762798.0	superfamily	212209	126	229	1.77464e-39	134.632	cl00388	Thioredoxin_like superfamily	 - 	 - 
Q#12 - >WHL22.762798.0	superfamily	212209	34	119	5.87568e-32	114.971	cl00388	Thioredoxin_like superfamily	 - 	 - 
Q#12 - >WHL22.762798.0	superfamily	212209	233	264	6.99572e-11	57.1787	cl00388	Thioredoxin_like superfamily	C	 - 
Q#13 - >WHL22.707364.0	superfamily	212291	431	598	6.22818e-73	234.591	cl09099	P-loop_NTPase superfamily	 - 	 - 
Q#13 - >WHL22.707364.0	superfamily	207103	50	262	6.68749e-09	55.7622	cl00549	ABC_membrane superfamily	C	 - 
Q#15 - >WHL22.643157.0	superfamily	207708	272	325	9.28718e-09	51.4516	cl02715	Surp superfamily	 - 	 - 
Q#18 - >WHL22.268.0	superfamily	199386	80	126	1.97295e-11	56.8375	cl02573	TUDOR superfamily	 - 	 - 
Q#19 - >WHL22.674949.2	superfamily	210155	46	120	3.05842e-26	95.0626	cl15755	SAM_superfamily superfamily	 - 	 - 
Q#20 - >WHL22.647722.0	superfamily	207591	1	99	1.0292e-13	63.5609	cl02429	TPR superfamily	 - 	 - 
Q#21 - >WHL22.165444.1	superfamily	209398	178	244	7.56211e-11	60.5807	cl11960	Ig superfamily	 - 	 - 
